Image_ID,Class
frame0.jpg,1
frame1.jpg,1
frame2.jpg,2
frame3.jpg,2
frame4.jpg,2
frame5.jpg,2
frame6.jpg,2
frame7.jpg,2
frame8.jpg,2
frame9.jpg,2
frame10.jpg,2
frame11.jpg,0
frame12.jpg,2
frame13.jpg,2
frame14.jpg,1
frame15.jpg,1
frame16.jpg,2
frame17.jpg,1
frame18.jpg,2
frame19.jpg,2
frame20.jpg,2
frame21.jpg,0
frame22.jpg,0
frame23.jpg,2
frame24.jpg,2
frame25.jpg,2
frame26.jpg,2
frame27.jpg,2
frame28.jpg,2
frame29.jpg,2
frame30.jpg,2
frame31.jpg,2
frame32.jpg,0
frame33.jpg,0
frame34.jpg,2
frame35.jpg,2
frame36.jpg,2
frame37.jpg,2
frame38.jpg,0
frame39.jpg,0
frame40.jpg,0
frame41.jpg,2
frame42.jpg,2
frame43.jpg,2
frame44.jpg,2
frame45.jpg,2
frame46.jpg,2
frame47.jpg,2
frame48.jpg,2
frame49.jpg,2
frame50.jpg,0
frame51.jpg,2
frame52.jpg,2
frame53.jpg,1
frame54.jpg,0
frame55.jpg,0
frame56.jpg,1
frame57.jpg,2
frame58.jpg,2
frame59.jpg,2
frame60.jpg,2
frame61.jpg,2
frame62.jpg,1
frame63.jpg,1
frame64.jpg,1
frame65.jpg,2
frame66.jpg,2
frame67.jpg,1
frame68.jpg,1
frame69.jpg,2
frame70.jpg,2
frame71.jpg,2
frame72.jpg,2
frame73.jpg,0
frame74.jpg,0
frame75.jpg,0
frame76.jpg,0
frame77.jpg,0
frame78.jpg,1
frame79.jpg,0
frame80.jpg,2
frame81.jpg,0
frame82.jpg,0
frame83.jpg,2
frame84.jpg,2
frame85.jpg,1
frame86.jpg,0
frame87.jpg,1
frame88.jpg,1
frame89.jpg,1
frame90.jpg,1
frame91.jpg,1
frame92.jpg,0
frame93.jpg,0
frame94.jpg,2
frame94.jpg,0
frame96.jpg,1
frame97.jpg,1
frame98.jpg,1
frame99.jpg,2
frame100.jpg,2
frame101.jpg,2
frame102.jpg,0
frame103.jpg,0
frame104.jpg,0
frame105.jpg,0
frame106.jpg,0
frame107.jpg,0
frame108.jpg,0
frame109.jpg,0
frame110.jpg,0
frame111.jpg,0
frame112.jpg,0
frame113.jpg,0
frame114.jpg,0
frame115.jpg,0
frame116.jpg,0
frame117.jpg,0
frame118.jpg,0
frame119.jpg,0
frame120.jpg,0
frame121.jpg,0
frame122.jpg,2
frame123.jpg,2
frame124.jpg,2
frame125.jpg,2
frame126.jpg,2
frame127.jpg,2
frame128.jpg,0
frame129.jpg,2
frame130.jpg,2
frame131.jpg,2
frame132.jpg,2
frame133.jpg,2
frame134.jpg,2
frame135.jpg,2
frame136.jpg,0
frame137.jpg,0
frame138.jpg,0
frame139.jpg,1
frame140.jpg,1
frame141.jpg,0
frame142.jpg,2
frame143.jpg,2
frame144.jpg,2
frame145.jpg,2
frame146.jpg,2
frame147.jpg,2
frame148.jpg,2
frame149.jpg,2
frame150.jpg,2
frame151.jpg,2
frame152.jpg,2
frame153.jpg,2
frame154.jpg,2
frame155.jpg,0
frame156.jpg,0
frame157.jpg,1
frame158.jpg,0
frame159.jpg,0
frame160.jpg,1
frame161.jpg,1
frame162.jpg,1
frame163.jpg,1
frame164.jpg,1
frame165.jpg,1
frame166.jpg,1
frame167.jpg,1
frame168.jpg,1
frame169.jpg,1
frame170.jpg,1
frame171.jpg,1
frame172.jpg,1
frame173.jpg,1
frame174.jpg,2
frame175.jpg,0
frame176.jpg,0
frame177.jpg,0
frame178.jpg,1
frame179.jpg,1
frame180.jpg,1
frame181.jpg,1
frame182.jpg,1
frame183.jpg,1
frame184.jpg,1
frame185.jpg,0
frame186.jpg,0
frame187.jpg,0
frame188.jpg,0
frame189.jpg,1
frame190.jpg,1
frame191.jpg,1
frame192.jpg,1
frame193.jpg,1
frame194.jpg,0
frame195.jpg,0
frame196.jpg,0
frame197.jpg,0
frame198.jpg,0
frame199.jpg,0
frame200.jpg,2
frame201.jpg,2
frame202.jpg,2
frame203.jpg,2
frame204.jpg,2
frame205.jpg,2
frame206.jpg,2
frame207.jpg,2
frame208.jpg,1
frame209.jpg,1
frame210.jpg,1
frame211.jpg,1
frame212.jpg,1
frame213.jpg,0
frame214.jpg,0
frame215.jpg,0
frame216.jpg,0
frame217.jpg,0
frame218.jpg,0
frame219.jpg,0
frame220.jpg,0
frame221.jpg,0
frame222.jpg,0
frame223.jpg,0
frame224.jpg,0
frame225.jpg,0
frame226.jpg,0
frame227.jpg,2
frame228.jpg,2
frame229.jpg,1
frame230.jpg,1
frame231.jpg,2
frame232.jpg,2
frame233.jpg,2
frame234.jpg,2
frame235.jpg,2
frame236.jpg,2
frame237.jpg,2
frame238.jpg,2
frame239.jpg,2
frame240.jpg,2
frame241.jpg,2
frame242.jpg,2
frame243.jpg,2
frame244.jpg,1
frame245.jpg,1
frame246.jpg,1
frame247.jpg,0
frame248.jpg,0
frame249.jpg,0
frame250.jpg,0
frame251.jpg,1
frame252.jpg,1
frame253.jpg,1
frame254.jpg,1
frame255.jpg,2
frame256.jpg,2
frame257.jpg,0
frame258.jpg,2
frame259.jpg,2
frame260.jpg,0
frame261.jpg,2
frame262.jpg,0
frame263.jpg,0
frame264.jpg,0
frame265.jpg,0
frame266.jpg,2
frame267.jpg,0
frame268.jpg,0
frame269.jpg,0
frame270.jpg,1
frame271.jpg,1
frame272.jpg,0
frame273.jpg,0
frame274.jpg,2
frame275.jpg,0
frame276.jpg,0
frame277.jpg,2
frame278.jpg,2
frame279.jpg,2
frame280.jpg,2
frame281.jpg,2
frame282.jpg,2
frame283.jpg,0
frame284.jpg,0
frame285.jpg,0
frame286.jpg,0
frame287.jpg,0
frame288.jpg,0
frame289.jpg,0
frame290.jpg,0
frame291.jpg,0
frame292.jpg,0
frame293.jpg,0
frame294.jpg,0
frame295.jpg,0
frame296.jpg,0
frame297.jpg,0
